30503	1
30503	2
30503	3
30503	4
30503	5
30503	6
30503	7
30503	8
30503	9
30503	10
30503	11
30503	12
30503	13
30503	14
30503	15
30503	16
30503	17
30503	18
30503	19
30503	20
21680	1
21680	2
21680	3
30503	1
30503	2
21680	4
30503	3
30503	4
21680	5
21680	6
30503	5
21680	7
30503	6
21680	8
30503	7
21680	9
30503	8
21680	10
30503	9
21680	11
30503	10
21680	12
30503	11
21680	13
30503	12
21680	14
30503	13
30503	14
21680	15
21680	16
30503	15
21680	17
30503	16
21680	18
30503	17
30503	18
21680	19
21680	20
30503	19
21680	21
30503	20
